seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13370,735796,1,45342981,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-06-01 04:59:44
13370,735796,2,45343101,94,1,1078,18',0,0,Sebastián Cáceres (Club América) is shown the yellow card for a bad foul.,Sebastián Cáceres Yellow Card,227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,285756.0,2025-06-01 04:59:44
13370,735796,3,45343250,81,1,2700,45'+3',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-06-01 04:59:44
13370,735796,6,45343294,82,2,2700,45',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-06-01 04:59:44
13370,735796,5,45343292,76,2,2700,45',0,0,"Substitution, Club América. Brian Rodríguez replaces Víctor Dávila.",Brian Rodríguez Substitution,227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144325.0,2025-06-01 04:59:44
13370,735796,4,45343291,76,2,2700,45',0,0,"Substitution, Club América. Jonathan dos Santos replaces Alan Cervantes.",Jonathan dos Santos Substitution,227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159839.0,2025-06-01 04:59:44
13370,735796,4,45343291,76,2,2700,45',0,0,"Substitution, Club América. Jonathan dos Santos replaces Alan Cervantes.",Jonathan dos Santos Substitution,227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137439.0,2025-06-01 04:59:44
13370,735796,4,45343291,76,2,2700,45',0,0,"Substitution, Club América. Jonathan dos Santos replaces Alan Cervantes.",Jonathan dos Santos Substitution,227,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228351.0,2025-06-01 04:59:44
13370,735796,5,45343292,76,2,2700,45',0,0,"Substitution, Club América. Brian Rodríguez replaces Víctor Dávila.",Brian Rodríguez Substitution,227,0.0,0.0,0.0,0.0,0.0,0.0,2.0,204923.0,2025-06-01 04:59:44
13370,735796,7,45343381,94,2,3487,59',0,0,Igor Jesus (Los Angeles Football Club) is shown the yellow card for a bad foul.,Igor Jesus Yellow Card,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322658.0,2025-06-02 04:55:15
13370,735796,7,45343381,94,2,3487,59',0,0,Igor Jesus (Los Angeles Football Club) is shown the yellow card for a bad foul.,Igor Jesus Yellow Card,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,287869.0,2025-06-02 04:55:15
13370,735796,8,45343404,94,2,3693,62',0,0,Mark Delgado (Los Angeles Football Club) is shown the yellow card for a bad foul.,Mark Delgado Yellow Card,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,193171.0,2025-06-01 04:59:44
13370,735796,9,45343411,98,2,3790,64',1,0,"Goal! Los Angeles Football Club 0, Club América 1. Brian Rodríguez (Club América) converts the penalty with a right footed shot to the centre of the goal.",Brian Rodríguez Penalty - Scored,227,0.0,0.0,0.23,0.5,0.0,0.513,1.0,144325.0,2025-06-02 04:55:15
13370,735796,10,45343432,94,2,3953,66',0,0,Sergi Palencia (Los Angeles Football Club) is shown the yellow card for a bad foul.,Sergi Palencia Yellow Card,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,218252.0,2025-06-01 04:59:44
