seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13145,727697,6,45319956,55',Emil Schlichting (Haugesund) Substitution at 55',2025-05-28 04:51:09
13145,727697,7,45319961,60',Mads Sande (SK Brann) Goal at 60',2025-05-28 04:51:09
13145,727697,8,45319981,67',Denzel De Roeve (SK Brann) Substitution at 67',2025-05-28 04:51:09
13145,727697,9,45319984,67',Mads Kristian Hansen (SK Brann) Substitution at 67',2025-05-28 04:51:09
13145,727697,10,45320017,80',Ulrick Mathisen (SK Brann) Substitution at 80',2025-05-28 04:51:09
13145,727697,11,45320038,80',Rasmus Holten (SK Brann) Substitution at 80',2025-05-28 04:51:09
13145,727697,12,45320070,84',Martin Samuelsen (Haugesund) Substitution at 84',2025-05-28 04:51:09
13145,727697,13,45320157,89',Aune Heggebo (SK Brann) Goal at 89',2025-05-28 04:51:09
13145,727697,14,45320193,90'+1',Madiodio Dia (Haugesund) Yellow Card at 91',2025-05-28 04:51:09
13145,727698,0,45325536,18',Bjørn Martin Kristensen (KFUM Oslo) Yellow Card at 18',2025-05-28 04:51:09
13145,727698,1,45325548,40',Simen Hestnes (KFUM Oslo) Red Card at 40',2025-05-28 04:51:09
13145,727698,2,45325560,45',Teodor Haltvik (KFUM Oslo) Substitution at 45',2025-05-28 04:51:09
13145,727698,3,45325567,54',Filip Thorvaldsen (Valerenga) Yellow Card at 54',2025-05-28 04:51:09
13145,727698,4,45325568,54',Håkon Hoseth (KFUM Oslo) Yellow Card at 54',2025-05-28 04:51:09
13145,727698,5,45325590,64',Filip Thorvaldsen (Valerenga) Goal at 64',2025-05-28 04:51:09
13145,727698,6,45325611,72',Ayoub Aleesami (KFUM Oslo) Yellow Card at 72',2025-05-28 04:51:09
13145,727698,7,45325613,73',David Hickson (KFUM Oslo) Substitution at 73',2025-05-28 04:51:09
13145,727698,8,45325621,78',Noah Pallas (Valerenga) Substitution at 78',2025-05-28 04:51:09
13145,727698,9,45325627,79',Daniel Schneider (KFUM Oslo) Substitution at 79',2025-05-28 04:51:09
13145,727698,10,45325628,79',Amin Nouri (KFUM Oslo) Substitution at 79',2025-05-28 04:51:09
13145,727698,11,45325636,83',Niclas Semmen (KFUM Oslo) Substitution at 83',2025-05-28 04:51:09
13145,727698,12,45325641,87',Håkon Sjåtil (Valerenga) Substitution at 87',2025-05-28 04:51:09
13145,727698,13,45325646,88',Aaron Olsen (Valerenga) Yellow Card at 88',2025-05-28 04:51:09
13145,727698,14,45325649,90'+2',Mees Rijks (Valerenga) Substitution at 92',2025-05-28 04:51:09
13145,727698,15,45325655,90'+2',Stian Thorstensen (Valerenga) Substitution at 92',2025-05-28 04:51:09
13145,727699,0,45329062,24',Ole Christian Saeter (Rosenborg) Goal at 24',2025-05-29 04:49:14
13145,727699,1,45329065,57',Rocco Robert Shein (Fredrikstad) Substitution at 57',2025-05-29 04:49:14
13145,727699,2,45329079,62',Isak Thorvaldsson (Rosenborg) Substitution at 62',2025-05-29 04:49:14
13145,727699,3,45329080,66',Oskar Øhlenschlæger (Fredrikstad) Substitution at 66',2025-05-29 04:49:14
13145,727699,4,45329081,70',Dino Islamovic (Rosenborg) Substitution at 70',2025-06-02 04:55:28
13145,727699,5,45329105,81',Benjamin Thoresen Faraas (Fredrikstad) Substitution at 81',2025-05-29 04:49:14
13145,727699,6,45329106,81',Ludvig Begby (Fredrikstad) Substitution at 81',2025-05-29 04:49:14
13145,727699,7,45329108,85',Isak Thorvaldsson (Rosenborg) Yellow Card at 85',2025-05-29 04:49:14
13145,727699,8,45329109,90'+3',Marius Sivertsen Broholm (Rosenborg) Goal at 93',2025-05-29 04:49:14
13145,727699,9,45329112,90'+5',Ole Selnaes (Rosenborg) Yellow Card at 95',2025-05-29 04:49:14
13145,727700,0,45329173,24',Henrik Heggheim (Viking FK) Yellow Card at 24',2025-05-29 04:49:14
13145,727700,1,45329174,25',Kasper Waarst Høgh (Bodo/Glimt) Goal at 25',2025-05-29 04:49:14
13145,727700,2,45329178,28',Edvin Austbø (Viking FK) Goal at 28',2025-05-29 04:49:14
13145,727700,3,45329205,44',Jostein Gundersen (Bodo/Glimt) Goal at 44',2025-05-29 04:49:14
13145,727700,4,45329242,56',Christian Cappis (Viking FK) Substitution at 56',2025-06-03 04:52:15
13145,727700,5,45329243,57',Zlatko Tripic (Viking FK) Substitution at 57',2025-05-29 04:49:14
13145,727700,6,45329258,63',Jostein Gundersen (Bodo/Glimt) Red Card at 63',2025-05-29 04:49:14
13145,727700,7,45329275,69',Herman Haugen (Viking FK) Yellow Card at 69',2025-05-29 04:49:14
13145,727700,8,45329281,70',Odin Bjortuft (Bodo/Glimt) Substitution at 70',2025-05-29 04:49:14
13145,727700,9,45329290,73',Zlatko Tripic (Viking FK) Goal at 73',2025-05-29 04:49:14
13145,727700,10,45329296,73',Simen Kvia-Egeskog (Viking FK) Substitution at 73',2025-05-29 04:49:14
13145,727700,11,45329297,73',Kristoffer Askildsen (Viking FK) Substitution at 73',2025-05-29 04:49:14
13145,727700,12,45329295,74',Zlatko Tripic (Viking FK) Yellow Card at 74',2025-05-29 04:49:14
13145,727700,13,45329308,79',Sondre Brunstad Fet (Bodo/Glimt) Substitution at 79',2025-05-29 04:49:14
13145,727700,14,45329309,79',Sondre Flem Bjørnshol (Viking FK) Substitution at 79',2025-05-29 04:49:14
13145,727700,15,45329310,80',Isak Dybvik Määttä (Bodo/Glimt) Substitution at 80',2025-05-29 04:49:14
13145,727700,16,45329318,83',Sondre Flem Bjørnshol (Viking FK) Goal at 83',2025-05-29 04:49:14
13145,727700,17,45329334,90',Andreas Helmersen (Bodo/Glimt) Substitution at 90',2025-05-29 04:49:14
13145,727700,18,45329336,90'+1',Simen Kvia-Egeskog (Viking FK) Goal at 91',2025-05-29 04:49:14
13145,727701,0,45334322,10',Samukelo Kabini (Molde) Substitution at 10',2025-05-30 04:54:05
13145,727701,1,45334323,11',Fredrik Gulbrandsen (Molde) Goal at 11',2025-05-30 04:54:05
13145,727701,2,45334333,32',Fredrik Gulbrandsen (Molde) Yellow Card at 32',2025-05-30 04:54:05
13145,727701,3,45334336,39',Emil Breivik (Molde) Yellow Card at 39',2025-05-30 04:54:05
13145,727701,4,45334338,45',Mads Enggård (Molde) Yellow Card at 45',2025-05-30 04:54:05
13145,727701,5,45334340,45'+3',Joachim Soltvedt (SK Brann) Yellow Card at 48',2025-05-30 04:54:05
13145,727701,6,45334342,45',Sondre Granaas (Molde) Substitution at 45',2025-05-30 04:54:05
13145,727701,7,45334343,48',Kristian Eriksen (Molde) Goal at 48',2025-05-30 04:54:05
13145,727701,8,45334344,54',Felix Horn Myhre (SK Brann) Yellow Card at 54',2025-05-30 04:54:05
13145,727701,9,45334345,55',Jacob Karlstrom (Molde) Yellow Card at 55',2025-05-30 04:54:05
13145,727701,10,45334349,59',Veton Berisha (Molde) Substitution at 59',2025-05-30 04:54:05
13145,727701,11,45334350,60',Samukelo Kabini (Molde) Yellow Card at 60',2025-05-30 04:54:05
13145,727701,12,45334351,62',Thore Baardsen Pedersen (SK Brann) Substitution at 62',2025-05-30 04:54:05
13145,727701,13,45334352,62',Ulrick Mathisen (SK Brann) Substitution at 62',2025-05-30 04:54:05
13145,727701,14,45334353,62',Lars Remmem (SK Brann) Substitution at 62',2025-05-30 04:54:05
13145,727701,15,45334361,72',Veton Berisha (Molde) Goal at 72',2025-05-30 04:54:05
13145,727701,16,45334364,76',Eirik Hestad (Molde) Yellow Card at 76',2025-05-30 04:54:05
13145,727701,17,45334367,77',Johan Bakke (Molde) Substitution at 77',2025-05-30 04:54:05
13145,727701,18,45334371,82',Eivind Helland (SK Brann) Yellow Card at 82',2025-05-30 04:54:05
13145,727701,19,45334372,82',Markus Haaland (SK Brann) Substitution at 82',2025-05-30 04:54:05
13145,727701,20,45334373,82',Mads Kristian Hansen (SK Brann) Substitution at 82',2025-05-30 04:54:05
13145,727701,21,45334374,83',Veton Berisha (Molde) Red Card at 83',2025-05-30 04:54:05
13145,727701,22,45334378,84',Sondre Granaas (Molde) Yellow Card at 84',2025-05-30 04:54:05
13145,727701,23,45334380,89',Mads Kristian Hansen (SK Brann) Yellow Card at 89',2025-05-30 04:54:05
13145,727701,24,45334383,90'+1',Mads Enggård (Molde) Red Card at 91',2025-05-30 04:54:05
13145,727702,0,45338202,7',Moses Mawa (Hamarkameratene) Goal at 7',2025-06-01 04:59:56
13145,727702,1,45338221,29',Bent Sormo (Stromsgodset) Substitution at 29',2025-06-01 04:59:56
13145,727702,2,45338242,36',Gard Simenstad (Hamarkameratene) Yellow Card at 36',2025-06-01 04:59:56
13145,727702,3,45338255,40',Marko Lawk Farji (Stromsgodset) Yellow Card at 40',2025-06-01 04:59:56
13145,727702,4,45338278,57',Alwande Roaldsöy (Hamarkameratene) Yellow Card at 57',2025-06-01 04:59:56
13145,727702,5,45338279,64',Anton Ekeroth (Hamarkameratene) Yellow Card at 64',2025-06-01 04:59:56
13145,727702,6,45338280,67',William Osnes-Ringen (Hamarkameratene) Substitution at 67',2025-06-01 04:59:56
