Rn,seasonType,leagueId,eventId,date,venueId,attendance,homeTeamId,awayTeamId,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,homeTeamShootoutScore,awayTeamShootoutScore,statusId,updateTime,source_file,table_type,team_relation,processed_team_id,year,last_matchDateTime,teamRank,teamId,gamesPlayed,wins,ties,losses,points,gf,ga,gd,deductions,clean_sheet,form,next_opponent,next_homeAway,next_matchDateTime,timeStamp,seasonYear,midsizeName,teamName,athleteId,playerDisplayName,jersey,position,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
312.0,12655,740.0,704970.0,2025-04-19 14:15:00,1632.0,48569.0,83.0,85.0,True,False,4.0,3.0,0.0,0.0,28.0,2025-04-20 15:13:24,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321.0,12655,740.0,704988.0,2025-04-22 19:30:00,1632.0,45602.0,83.0,84.0,True,False,1.0,0.0,0.0,0.0,28.0,2025-04-23 04:27:27,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348.0,12655,740.0,705002.0,2025-05-11 14:15:00,1632.0,50319.0,83.0,86.0,True,False,4.0,3.0,0.0,0.0,28.0,2025-05-11 18:23:52,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.0,12655,740.0,705021.0,2025-05-18 17:00:00,1632.0,49558.0,83.0,102.0,False,True,2.0,3.0,0.0,0.0,28.0,2025-05-19 04:27:54,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,12813,17929.0,715386.0,2024-08-12 18:00:00,1632.0,41416.0,83.0,174.0,False,True,0.0,3.0,0.0,0.0,28.0,2024-08-20 04:13:01,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,12882,775.0,733617.0,2025-04-30 19:00:00,1632.0,50314.0,83.0,110.0,False,False,3.0,3.0,0.0,0.0,28.0,2025-05-01 04:24:57,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,12883,775.0,733610.0,2025-04-09 19:00:00,1632.0,49760.0,83.0,124.0,True,False,4.0,0.0,0.0,0.0,28.0,2025-04-10 04:28:18,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12884,775.0,733144.0,2025-03-11 17:45:00,1632.0,47111.0,83.0,1929.0,True,False,3.0,1.0,0.0,0.0,28.0,2025-03-12 04:26:02,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,12885,775.0,720442.0,2024-10-01 19:00:00,1632.0,45097.0,83.0,2722.0,True,False,5.0,0.0,0.0,0.0,28.0,2024-10-02 04:19:28,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,12885,775.0,720372.0,2024-10-23 19:00:00,1632.0,50312.0,83.0,132.0,True,False,4.0,1.0,0.0,0.0,28.0,2024-10-25 04:36:04,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,12885,775.0,720394.0,2024-11-26 20:00:00,1632.0,46317.0,83.0,6997.0,True,False,3.0,0.0,0.0,0.0,28.0,2024-11-27 05:29:34,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.0,12885,775.0,720362.0,2025-01-29 20:00:00,1632.0,42728.0,83.0,105.0,False,False,2.0,2.0,0.0,0.0,28.0,2025-01-30 14:29:04,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,12916,3951.0,735156.0,2025-04-26 20:00:00,2781.0,0.0,83.0,86.0,True,False,3.0,2.0,0.0,0.0,45.0,2025-04-27 04:29:10,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,12917,3951.0,732586.0,2025-02-25 20:30:00,1632.0,40915.0,83.0,1068.0,False,False,4.0,4.0,0.0,0.0,28.0,2025-02-26 05:24:57,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,12919,3951.0,729687.0,2025-01-15 20:00:00,1632.0,46019.0,83.0,244.0,True,False,5.0,1.0,0.0,0.0,28.0,2025-01-16 05:14:06,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,12282,19834.0,701277.0,2024-08-03 23:00:00,4727.0,82154.0,86.0,83.0,False,True,1.0,2.0,0.0,0.0,28.0,2024-08-14 08:07:47,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,12655,740.0,704668.0,2024-08-17 19:30:00,1635.0,46673.0,94.0,83.0,False,True,1.0,2.0,0.0,0.0,28.0,2024-08-18 04:18:23,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,12655,740.0,704685.0,2024-08-27 19:30:00,4645.0,14031.0,101.0,83.0,False,True,1.0,2.0,0.0,0.0,28.0,2024-08-28 04:22:12,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,12655,740.0,704703.0,2024-09-15 14:15:00,4021.0,13891.0,9812.0,83.0,False,True,1.0,4.0,0.0,0.0,28.0,2024-09-16 04:17:49,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,12655,740.0,704711.0,2024-09-22 16:30:00,1630.0,22048.0,102.0,83.0,False,True,1.0,5.0,0.0,0.0,28.0,2024-09-23 04:20:59,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,12655,740.0,704739.0,2024-09-28 19:00:00,1565.0,22322.0,97.0,83.0,True,False,4.0,2.0,0.0,0.0,28.0,2024-10-01 04:18:10,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,12655,740.0,704740.0,2024-10-06 14:15:00,1772.0,19468.0,96.0,83.0,False,True,0.0,3.0,0.0,0.0,28.0,2024-10-07 04:20:52,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,12655,740.0,704766.0,2024-10-26 19:00:00,1568.0,78192.0,86.0,83.0,False,True,0.0,4.0,0.0,0.0,28.0,2024-10-27 04:36:23,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.0,12655,740.0,704786.0,2024-11-10 20:00:00,1626.0,36194.0,89.0,83.0,True,False,1.0,0.0,0.0,0.0,28.0,2024-11-11 05:39:41,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,12655,740.0,704792.0,2024-11-23 20:00:00,1771.0,24573.0,85.0,83.0,False,False,2.0,2.0,0.0,0.0,28.0,2024-11-24 15:27:55,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.0,12655,740.0,704844.0,2024-12-03 18:00:00,1631.0,22352.0,84.0,83.0,False,True,1.0,5.0,0.0,0.0,28.0,2024-12-04 05:26:41,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.0,12655,740.0,704818.0,2024-12-07 15:15:00,346.0,51749.0,244.0,83.0,False,False,2.0,2.0,0.0,0.0,28.0,2024-12-10 05:22:09,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.0,12655,740.0,704851.0,2025-01-18 20:00:00,4154.0,15134.0,2922.0,83.0,False,False,1.0,1.0,0.0,0.0,28.0,2025-01-19 05:15:59,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.0,12655,740.0,704888.0,2025-02-09 20:00:00,812.0,38592.0,243.0,83.0,False,True,1.0,4.0,0.0,0.0,28.0,2025-02-10 05:25:15,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.0,12655,740.0,704909.0,2025-02-22 20:00:00,4024.0,30746.0,98.0,83.0,False,True,0.0,2.0,0.0,0.0,28.0,2025-02-23 05:26:07,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.0,12655,740.0,704930.0,2025-03-16 20:00:00,7376.0,67602.0,1068.0,83.0,False,True,2.0,4.0,0.0,0.0,28.0,2025-03-18 04:26:53,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.0,12655,740.0,704962.0,2025-04-12 19:00:00,5962.0,12530.0,17534.0,83.0,False,True,0.0,1.0,0.0,0.0,28.0,2025-04-14 04:30:39,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.0,12655,740.0,704996.0,2025-05-03 19:00:00,3025.0,23967.0,95.0,83.0,False,True,1.0,2.0,0.0,0.0,28.0,2025-05-05 04:28:26,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.0,12655,740.0,705018.0,2025-05-15 19:30:00,4159.0,34283.0,88.0,83.0,False,True,0.0,2.0,0.0,0.0,28.0,2025-05-16 02:02:40,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380.0,12655,740.0,705035.0,2025-05-25 19:00:00,2218.0,50231.0,93.0,83.0,False,True,0.0,3.0,0.0,0.0,28.0,2025-05-25 22:23:54,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,12752,8102.0,712534.0,2025-01-12 19:00:00,6755.0,60000.0,86.0,83.0,False,True,2.0,5.0,0.0,0.0,28.0,2025-01-15 05:15:28,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,12753,8102.0,712533.0,2025-01-08 19:00:00,6755.0,42000.0,93.0,83.0,False,True,0.0,2.0,0.0,0.0,28.0,2025-01-10 05:14:49,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,12882,775.0,733619.0,2025-05-06 19:00:00,1642.0,75504.0,110.0,83.0,True,False,4.0,3.0,0.0,0.0,45.0,2025-05-07 04:26:20,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,12883,775.0,733614.0,2025-04-15 19:00:00,2315.0,81365.0,124.0,83.0,False,True,3.0,1.0,0.0,0.0,28.0,2025-04-17 04:22:55,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,12884,775.0,733143.0,2025-03-05 20:00:00,1470.0,62437.0,1929.0,83.0,False,True,0.0,1.0,0.0,0.0,28.0,2025-03-06 12:31:35,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,12885,775.0,720434.0,2024-09-19 19:00:00,339.0,13296.0,174.0,83.0,True,False,2.0,1.0,0.0,0.0,28.0,2024-09-23 04:17:08,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,12885,775.0,720385.0,2024-11-06 20:00:00,1222.0,48886.0,2290.0,83.0,False,True,2.0,5.0,0.0,0.0,28.0,2024-11-08 05:33:16,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,12885,775.0,720322.0,2024-12-11 20:00:00,2315.0,81365.0,124.0,83.0,False,True,2.0,3.0,0.0,0.0,28.0,2024-12-12 05:22:31,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,12885,775.0,720334.0,2025-01-21 20:00:00,1470.0,63225.0,1929.0,83.0,False,True,4.0,5.0,0.0,0.0,28.0,2025-01-22 05:15:19,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,12917,3951.0,732588.0,2025-04-02 19:30:00,7376.0,69014.0,1068.0,83.0,False,True,0.0,1.0,0.0,0.0,28.0,2025-04-03 04:22:45,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,12918,3951.0,730975.0,2025-02-06 20:30:00,1635.0,46806.0,94.0,83.0,False,True,0.0,5.0,0.0,0.0,28.0,2025-02-07 05:21:22,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,12920,3951.0,724693.0,2025-01-04 18:00:00,9737.0,5500.0,22083.0,83.0,False,True,0.0,4.0,0.0,0.0,28.0,2025-01-05 05:18:57,fixtures.csv,fixtures,awayTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,740.0,,,,,,,,,,,,,,,standings.csv,standings,teamId,83,2024.0,2025-05-25 19:00:00,1.0,83.0,38.0,28.0,4.0,6.0,88.0,102.0,39.0,63.0,0.0,13.0,WWWLW,,,,2025-05-26 04:36:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12885,775.0,,,,,,,,,,,,,,,standings.csv,standings,teamId,83,2024.0,2025-01-29 20:00:00,2.0,83.0,8.0,6.0,1.0,1.0,19.0,28.0,13.0,15.0,0.0,2.0,WWWWD,,,,2025-01-30 14:40:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,131634.0,Wojciech Szczesny,25.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,140740.0,Marc-André ter Stegen,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
